P1,P2,P3,Fx,Fy,Fz,thetaX,thetaY,d,X,Y,Z
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.053029813,0.18533239,0.010048552,0.04355886,0.015822936,0.184782851
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.053542547,0.1861703,0.010075224,0.043782219,0.015970512,0.184772179
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.054015633,0.18695475,0.010098949,0.043990951,0.016105959,0.184758736
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.054451797,0.18768863,0.010120046,0.044185908,0.016230196,0.184743115
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.05485361,0.18837483,0.010138802,0.044367905,0.01634408,0.184725826
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.055223487,0.18901598,0.010155473,0.044537721,0.016448408,0.184707305
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.055563703,0.18961476,0.010170287,0.044696098,0.016543921,0.184687921
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.055876434,0.1901736,0.010183447,0.044843744,0.016631309,0.184667988
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.05364644,0.17121401,0.00864956,0.038920564,0.015445764,0.182253656
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.051334623,0.15037617,0.007251103,0.032767813,0.01426407,0.180342453
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.04880973,0.13055962,0.006004307,0.027179045,0.013187165,0.178686251
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.046433445,0.11136141,0.004924394,0.022394044,0.012249627,0.177186904
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.044394128,0.09362993,0.004004678,0.018443833,0.011467295,0.175824956
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.042868655,0.0766414,0.003163265,0.015256361,0.010839972,0.174604706
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.04103678,0.062661126,0.002485028,0.012718008,0.010354423,0.17353038
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.03899106,0.051650792,0.001963837,0.010709608,0.009989963,0.172599237
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.036497295,0.042901564,0.001554284,0.00912375,0.009723797,0.171802038
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.03458054,0.0360218,0.001230592,0.007870594,0.009534539,0.171125584
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.033285238,0.030719552,0.001006236,0.006877915,0.009403871,0.170555099
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.03210087,0.026753485,0.000846939,0.00608884,0.009316942,0.170075871
