stretch,stress
1.119333333,145.1626676
1.12,145.1626676
1.121333333,145.1626676
1.122666667,153.701648
1.124,153.701648
1.124666667,153.701648
1.126666667,153.701648
1.127333333,153.701648
1.128666667,162.2406285
1.129333333,162.2406285
1.130666667,162.2406285
1.132,162.2406285
1.132666667,162.2406285
1.134,162.2406285
1.135333333,170.7796089
1.136,170.7796089
1.138,170.7796089
1.138666667,170.7796089
1.14,170.7796089
1.141333333,179.3185894
1.142,179.3185894
1.143333333,179.3185894
1.144666667,179.3185894
1.145333333,179.3185894
1.146666667,179.3185894
1.148,179.3185894
1.148666667,187.8575698
1.150666667,187.8575698
1.151333333,187.8575698
1.152,187.8575698
1.154,187.8575698
1.154666667,196.3965503
1.156,196.3965503
1.157333333,196.3965503
1.158666667,196.3965503
1.16,196.3965503
1.160666667,196.3965503
1.162,204.9355307
1.163333333,204.9355307
1.164,204.9355307
1.165333333,204.9355307
1.166666667,204.9355307
1.167333333,213.4745111
1.168666667,213.4745111
1.17,213.4745111
1.170666667,213.4745111
1.172666667,213.4745111
1.173333333,213.4745111
1.174,213.4745111
1.176,222.0134916
1.176666667,222.0134916
1.177333333,222.0134916
1.179333333,222.0134916
1.18,222.0134916
1.180666667,222.0134916
1.182666667,230.552472
1.183333333,230.552472
1.184,230.552472
1.186,230.552472
1.186666667,230.552472
1.187333333,230.552472
1.189333333,239.0914525
1.19,239.0914525
1.191333333,239.0914525
1.192666667,239.0914525
1.193333333,239.0914525
1.194666667,239.0914525
1.196,247.6304329
1.196666667,247.6304329
1.198666667,247.6304329
1.199333333,247.6304329
1.2,247.6304329
1.201333333,247.6304329
1.202666667,247.6304329
1.204,256.1694134
1.205333333,256.1694134
1.206,256.1694134
1.208,256.1694134
1.208666667,256.1694134
1.209333333,264.7083938
1.211333333,264.7083938
1.212,264.7083938
1.213333333,264.7083938
1.214666667,264.7083938
1.215333333,264.7083938
1.217333333,264.7083938
1.218,273.2473743
1.22,273.2473743
1.220666667,273.2473743
1.221333333,273.2473743
1.223333333,273.2473743
1.224,281.7863547
1.226,281.7863547
1.226666667,281.7863547
1.227333333,281.7863547
1.229333333,281.7863547
1.23,281.7863547
1.231333333,281.7863547
1.232666667,290.3253352
1.233333333,290.3253352
1.234,290.3253352
1.236,290.3253352
1.236666667,290.3253352
1.237333333,298.8643156
1.239333333,298.8643156
1.24,298.8643156
1.242,298.8643156
1.242666667,298.8643156
1.243333333,298.8643156
1.245333333,298.8643156
1.246,307.403296
1.246666667,307.403296
1.248666667,307.403296
1.249333333,307.403296
1.25,307.403296
1.252,307.403296
1.253333333,315.9422765
1.254666667,315.9422765
1.255333333,315.9422765
1.256,315.9422765
1.258,315.9422765
1.258666667,315.9422765
1.260666667,315.9422765
1.261333333,324.4812569
1.262666667,324.4812569
1.264,324.4812569
1.264666667,324.4812569
1.266666667,324.4812569
1.267333333,324.4812569
1.268,333.0202374
1.27,333.0202374
1.270666667,333.0202374
1.272,333.0202374
1.273333333,333.0202374
1.274,333.0202374
1.276,333.0202374
1.276666667,341.5592178
1.278,341.5592178
1.279333333,341.5592178
1.280666667,341.5592178
1.281333333,341.5592178
1.282666667,350.0981983
1.284,350.0981983
1.284666667,350.0981983
1.286,350.0981983
1.287333333,350.0981983
1.288666667,350.0981983
1.289333333,350.0981983
1.290666667,350.0981983
1.292,358.6371787
1.292666667,358.6371787
1.294,358.6371787
1.295333333,358.6371787
1.296666667,358.6371787
1.298,358.6371787
1.298666667,367.1761592
1.3,367.1761592
1.301333333,367.1761592
