Pressure1,Pressure2,Pressure3,predicted_position1,predicted_position2,predicted_position3
6,-2,-20,-0.029613577,-0.026196748,0.17475902
8,-2,-20,-0.03228825,-0.025898898,0.17483324
10,-2,-20,-0.03499696,-0.025543112,0.17491962
12,-2,-20,-0.037163112,-0.025259485,0.17486414
14,-2,-20,-0.03917985,-0.025140505,0.17469369
16,-2,-20,-0.04114533,-0.025213253,0.17466573
18,-2,-20,-0.04310134,-0.025279658,0.17465763
20,-2,-20,-0.045058537,-0.025321702,0.17463739
22,-2,-20,-0.046819206,-0.025487099,0.17456368
24,-2,-20,-0.048213024,-0.025659537,0.17450473
26,-2,-20,-0.049653523,-0.025753653,0.17421037
28,-2,-20,-0.05101503,-0.025630353,0.17401193
30,-2,-20,-0.052295208,-0.025459973,0.17381121
32,-2,-20,-0.053609483,-0.025252713,0.17358117
34,-2,-20,-0.054960687,-0.024989417,0.1733517
-20,0,-20,0.018055737,-0.02650227,0.16621883
-18,0,-20,0.014155887,-0.026683789,0.16782418
-16,0,-20,0.009955843,-0.026981639,0.16925523
-14,0,-20,0.00567583,-0.02744702,0.17042848
-12,0,-20,0.001388467,-0.027866228,0.17155868
-10,0,-20,-0.002796337,-0.028169876,0.17259441
-8,0,-20,-0.006811721,-0.028441511,0.17315984
-6,0,-20,-0.010534705,-0.028676566,0.17366233
-4,0,-20,-0.014237329,-0.028915215,0.17416893
-2,0,-20,-0.017725559,-0.029168883,0.17462614
0,0,-20,-0.020626603,-0.02931107,0.17490605
2,0,-20,-0.023349222,-0.029176721,0.17508268
4,0,-20,-0.025872175,-0.029121438,0.17514274
6,0,-20,-0.028395124,-0.029066158,0.17520277
8,0,-20,-0.030958299,-0.028943887,0.17523861
10,0,-20,-0.03350611,-0.0286243,0.17524967
12,0,-20,-0.035678905,-0.028354138,0.17513907
14,0,-20,-0.037711862,-0.028214017,0.1751593
16,0,-20,-0.039675437,-0.028277665,0.17528108
18,0,-20,-0.041636046,-0.028335828,0.1752805
20,0,-20,-0.04359845,-0.028364362,0.17525627
22,0,-20,-0.045414586,-0.028470524,0.17520835
24,0,-20,-0.046870153,-0.028629288,0.1750423
26,0,-20,-0.048329663,-0.0287113,0.1747027
28,0,-20,-0.049690343,-0.028596684,0.17448804
30,0,-20,-0.05100174,-0.028362235,0.17430955
32,0,-20,-0.052313145,-0.02812779,0.17413107
34,0,-20,-0.053639144,-0.027888563,0.17393869
-20,2,-20,0.019691747,-0.029100461,0.16606942
-18,2,-20,0.015779056,-0.029463,0.16760717
-16,2,-20,0.011617181,-0.029825352,0.16914195
-14,2,-20,0.007400214,-0.030314589,0.17049341
-12,2,-20,0.003024772,-0.030713899,0.17164564
-10,2,-20,-0.001276153,-0.030909153,0.17267281
-8,2,-20,-0.005287272,-0.03117927,0.17335136
-6,2,-20,-0.009178221,-0.031314038,0.1737707
-4,2,-20,-0.012993488,-0.031431604,0.17421682
-2,2,-20,-0.01659861,-0.03160589,0.17468417
0,2,-20,-0.019600036,-0.03158679,0.17503268
2,2,-20,-0.02228887,-0.03154496,0.17527162
4,2,-20,-0.024834316,-0.031536497,0.17540795
6,2,-20,-0.027349705,-0.031491738,0.17547207
8,2,-20,-0.029831046,-0.031392973,0.17552276
10,2,-20,-0.03219408,-0.03133117,0.17544693
12,2,-20,-0.034203,-0.03135473,0.17543653
14,2,-20,-0.03625629,-0.031350832,0.17562531
16,2,-20,-0.03821656,-0.03135748,0.17577672
18,2,-20,-0.040178046,-0.03137174,0.1758953
20,2,-20,-0.042180493,-0.031341057,0.17585428
22,2,-20,-0.04410123,-0.031297818,0.17580888
24,2,-20,-0.045725346,-0.031319883,0.17545739
26,2,-20,-0.047263604,-0.031282727,0.17508212
28,2,-20,-0.048678912,-0.031091217,0.17482449
30,2,-20,-0.05001471,-0.030816132,0.17463131
32,2,-20,-0.05139039,-0.03055238,0.1743939
34,2,-20,-0.052808095,-0.030300578,0.17410989
-20,4,-20,0.021019224,-0.03153309,0.16576263
-18,4,-20,0.017123412,-0.031887736,0.16727969
-16,4,-20,0.012930687,-0.03226953,0.16879675
-14,4,-20,0.008648095,-0.032779794,0.17016998
-12,4,-20,0.004302774,-0.03318448,0.17149821
-10,4,-20,4.27E-05,-0.033320665,0.17265941
-8,4,-20,-0.003962376,-0.033471536,0.17332935
-6,4,-20,-0.007901087,-0.033614587,0.17377803
-4,4,-20,-0.011724763,-0.033727538,0.17422149
-2,4,-20,-0.015383099,-0.03378129,0.17464533
0,4,-20,-0.018599626,-0.033617485,0.17502584
2,4,-20,-0.021432385,-0.033573173,0.17533132
4,4,-20,-0.024053909,-0.03358468,0.17555633
6,4,-20,-0.02647666,-0.033670913,0.17566496
8,4,-20,-0.028812116,-0.03365687,0.17567985
10,4,-20,-0.031138202,-0.033675853,0.17564593
12,4,-20,-0.033101853,-0.03386282,0.17577475
14,4,-20,-0.035070304,-0.034013156,0.17592241
16,4,-20,-0.03710748,-0.033958513,0.1760746
18,4,-20,-0.03910821,-0.03390647,0.17621018
20,4,-20,-0.041102286,-0.03378809,0.17628652
22,4,-20,-0.043040864,-0.03370682,0.17609142
24,4,-20,-0.04479067,-0.033680826,0.17576586
26,4,-20,-0.04632893,-0.033643667,0.1753906
28,4,-20,-0.047736093,-0.033471465,0.17511962
30,4,-20,-0.04914163,-0.033216204,0.1748491
32,4,-20,-0.05055934,-0.032964397,0.17456509
34,4,-20,-0.051977042,-0.03271259,0.17428108
-20,6,-20,0.022178572,-0.033912983,0.16540372
-18,6,-20,0.018407414,-0.03432137,0.16694863
-16,6,-20,0.014234562,-0.034687202,0.1684362
-14,6,-20,0.009858081,-0.035096336,0.16978627
-12,6,-20,0.005379819,-0.03539303,0.1711281
-10,6,-20,0.001099612,-0.035569645,0.17234562
-8,6,-20,-0.002728081,-0.03575286,0.17316547
-6,6,-20,-0.006607608,-0.03590984,0.17379121
-4,6,-20,-0.010447629,-0.036028087,0.17422882
-2,6,-20,-0.013997131,-0.035972502,0.17463733
0,6,-20,-0.017237911,-0.035793636,0.17500879
2,6,-20,-0.020478686,-0.035614766,0.17538024
4,6,-20,-0.023264736,-0.035559554,0.17562996
6,6,-20,-0.025692638,-0.03553646,0.17574762
8,6,-20,-0.028056083,-0.035553362,0.17571239
10,6,-20,-0.0302713,-0.03572771,0.17587864
12,6,-20,-0.032150403,-0.035978455,0.17604306
14,6,-20,-0.034080487,-0.036148272,0.17617576
16,6,-20,-0.035989773,-0.03631957,0.17629898
18,6,-20,-0.037976123,-0.03625301,0.17642622
20,6,-20,-0.039984744,-0.036175035,0.1765195
22,6,-20,-0.04191899,-0.0360102,0.1763067
24,6,-20,-0.04379607,-0.035938416,0.17603645
26,6,-20,-0.045411825,-0.03600967,0.17567943
28,6,-20,-0.046892885,-0.035880025,0.1753043
30,6,-20,-0.048310585,-0.03562822,0.17502029
32,6,-20,-0.049728286,-0.03537641,0.17473628
34,6,-20,-0.051184326,-0.03515928,0.17440814
-20,8,-20,0.022981802,-0.03621649,0.16493692
-18,8,-20,0.019346152,-0.036599137,0.16646788
-16,8,-20,0.015476261,-0.036908995,0.16798037
-14,8,-20,0.010970146,-0.037344307,0.1694167
-12,8,-20,0.006475871,-0.03760065,0.17074569
-10,8,-20,0.002103725,-0.037815664,0.17200981
-8,8,-20,-0.001702879,-0.03800299,0.17284545
-6,8,-20,-0.005454862,-0.038150296,0.1735755
-4,8,-20,-0.009227425,-0.038312882,0.17416874
-2,8,-20,-0.01260862,-0.038163725,0.17462906
0,8,-20,-0.015851941,-0.037984855,0.17500079
2,8,-20,-0.019070186,-0.037759982,0.17535622
4,8,-20,-0.022235805,-0.037513696,0.17568858
6,8,-20,-0.024841513,-0.037321378,0.17572978
8,8,-20,-0.027244342,-0.03739392,0.1758712
10,8,-20,-0.029414354,-0.037594587,0.17605388
12,8,-20,-0.03128279,-0.037850108,0.1762198
14,8,-20,-0.033151217,-0.03810563,0.17638572
16,8,-20,-0.03502198,-0.03835791,0.17655037
18,8,-20,-0.03685443,-0.038519654,0.17664748
20,8,-20,-0.03891748,-0.038492505,0.17658225
22,8,-20,-0.040810894,-0.03839864,0.17643493
24,8,-20,-0.042734493,-0.038256034,0.17617474
26,8,-20,-0.044512957,-0.038249046,0.17581038
28,8,-20,-0.046037037,-0.038241435,0.17545788
30,8,-20,-0.04747953,-0.038040232,0.17519148
32,8,-20,-0.048930943,-0.03781892,0.17486866
34,8,-20,-0.050465465,-0.037672743,0.1744502
-20,10,-20,0.023707429,-0.038423803,0.16438234
-18,10,-20,0.020042963,-0.03875139,0.16587497
-16,10,-20,0.016098179,-0.03910536,0.16747472
-14,10,-20,0.011986085,-0.03954368,0.16900359
-12,10,-20,0.007585774,-0.039807588,0.17035434
-10,10,-20,0.00311213,-0.040062435,0.1716702
-8,10,-20,-0.000708846,-0.04025378,0.17252158
-6,10,-20,-0.004429621,-0.040400423,0.17325549
-4,10,-20,-0.008034489,-0.04045879,0.17390323
-2,10,-20,-0.011325995,-0.040296163,0.17442848
0,10,-20,-0.014443555,-0.040047575,0.17490971
2,10,-20,-0.017606266,-0.039792072,0.17529283
4,10,-20,-0.020814726,-0.03954461,0.17557915
6,10,-20,-0.023804815,-0.039327115,0.1758874
8,10,-20,-0.026333762,-0.03933815,0.17609982
10,10,-20,-0.028530005,-0.039479967,0.17623833
12,10,-20,-0.030418213,-0.039717536,0.17639491
14,10,-20,-0.03228664,-0.039973054,0.17656082
16,10,-20,-0.03414418,-0.040219575,0.17672758
