P1,P2,P3,thetaX,thetaY,d,pred_x,pred_y,pred_z
17631.6,-11315.8,-20000,-0.079715573,-0.019416743,0.001858227,-0.003712943,0.019948,0.172029136
20526.3,-11315.8,-20000,-0.092772472,-0.010497839,0,-0.00189039,0.022131863,0.16549037
23421.1,-11315.8,-20000,-0.100816606,-0.011885958,0.002786488,-0.002338774,0.025698414,0.172828503
26315.8,-11315.8,-20000,-0.112097849,-0.00847051,0.003308057,-0.001692944,0.028855941,0.173096857
29210.5,-11315.8,-20000,-0.122806134,-0.003101724,0.003887065,-0.000630552,0.031957658,0.173455798
32105.3,-11315.8,-20000,-0.155707999,-0.010945591,0.005807274,-0.002348162,0.041901263,0.173969916
35000,-11315.8,-20000,-0.161122087,0.006404603,0.007088939,0.001422531,0.044503374,0.176687
-20000,-8421.1,-20000,-0.166076671,0.017396412,0.00622371,0.003773211,0.044935335,0.173264452
-17105.3,-8421.1,-20000,0.00718135,-0.007302261,3.12E-07,-0.001315322,-0.001728639,0.169952394
-14210.5,-8421.1,-20000,0.012507062,-0.028523087,0,-0.005135067,-0.003006735,0.1695927
-11315.8,-8421.1,-20000,0.001837064,-0.032153174,0,-0.005788053,-0.000441586,0.169584566
-8421.1,-8421.1,-20000,-0.01041625,-0.029498651,0,-0.005310567,0.002504045,0.169595099
-5526.3,-8421.1,-20000,-0.018864098,-0.02506611,0.000222725,-0.004547375,0.004561529,0.17022876
-2631.6,-8421.1,-20000,-0.021370922,-0.030475791,9.64E-05,-0.0055049,0.005148958,0.169677707
263.2,-8421.1,-20000,-0.02859916,-0.030167423,0.000324357,-0.005490526,0.006927446,0.17017729
3157.9,-8421.1,-20000,-0.047578684,-0.023227475,0.001456242,-0.00438595,0.011837892,0.172941683
6052.6,-8421.1,-20000,-0.043348741,-0.029550174,0.000820356,-0.0054662,0.010618963,0.171114522
8947.4,-8421.1,-20000,-0.051147234,-0.029012524,0.001096366,-0.0054148,0.012605495,0.171560502
11842.1,-8421.1,-20000,-0.061587836,-0.019709188,0.001332452,-0.003707047,0.015256663,0.171824228
14736.8,-8421.1,-20000,-0.068025681,-0.027240105,0.001725371,-0.005186706,0.016990447,0.172403475
17631.6,-8421.1,-20000,-0.077264958,-0.025757198,0.002088733,-0.004960371,0.019442316,0.172796895
20526.3,-8421.1,-20000,-0.071124593,-0.013203777,0,-0.0023777,0.017027321,0.167296998
23421.1,-8421.1,-20000,-0.097685974,-0.021137047,0.002948367,-0.004179087,0.02500117,0.173508448
26315.8,-8421.1,-20000,-0.127877743,-0.01476224,0.004060618,-0.003015674,0.033357471,0.173189188
29210.5,-8421.1,-20000,-0.12085366,-0.013627646,0.004029374,-0.002781809,0.031560209,0.174049917
32105.3,-8421.1,-20000,-0.134255342,-0.0078069,0.004700376,-0.001624499,0.035478628,0.174196534
35000,-8421.1,-20000,-0.14258262,-0.000934195,0.005246034,-0.000197391,0.038054664,0.174540225
-20000,-5526.3,-20000,-0.116541823,0.076988518,0.005020107,0.016122786,0.030924278,0.175056654
-17105.3,-5526.3,-20000,0.001962018,-0.025607204,1.33E-06,-0.00461142,-0.000471965,0.16973919
-14210.5,-5526.3,-20000,0.012426507,-0.038578112,2.84E-08,-0.006943407,-0.002985084,0.169324125
-11315.8,-5526.3,-20000,0.00883449,-0.040319311,0,-0.007256132,-0.002121874,0.169309118
-8421.1,-5526.3,-20000,-0.002922502,-0.039790074,0,-0.007161025,0.000702015,0.169362323
-5526.3,-5526.3,-20000,-0.010694187,-0.039878084,0.000111474,-0.007204729,0.002576333,0.169636828
-2631.6,-5526.3,-20000,-0.018058091,-0.039428793,0.000326203,-0.00717449,0.004373011,0.170181745
263.2,-5526.3,-20000,-0.025246798,-0.039087846,0.000547146,-0.007164358,0.006145758,0.170688787
3157.9,-5526.3,-20000,-0.032510994,-0.038760526,0.000783044,-0.007159283,0.007957167,0.171182059
6052.6,-5526.3,-20000,-0.045370765,-0.030039476,0,-0.005407795,0.010885079,0.168565674
8947.4,-5526.3,-20000,-0.052719988,-0.027200649,0,-0.004897072,0.012641568,0.168255397
11842.1,-5526.3,-20000,-0.055966447,-0.037034858,0.001596219,-0.007021271,0.013945152,0.172557036
14736.8,-5526.3,-20000,-0.064665105,-0.035940505,0.001918089,-0.006883155,0.016222148,0.172986328
17631.6,-5526.3,-20000,-0.073932651,-0.034426686,0.002276942,-0.006667247,0.018684628,0.173406904
20526.3,-5526.3,-20000,-0.083824617,-0.032434314,0.002672912,-0.006358235,0.021353571,0.173795509
23421.1,-5526.3,-20000,-0.07176586,-0.015698701,0,-0.002826884,0.017177712,0.167220992
26315.8,-5526.3,-20000,-0.105832368,-0.026358795,0.003620523,-0.005316223,0.027456909,0.174480971
29210.5,-5526.3,-20000,-0.118062374,-0.021991337,0.004190567,-0.004509803,0.030953883,0.174751655
32105.3,-5526.3,-20000,-0.178631264,-0.012730266,0.006328255,-0.002767742,0.048236866,0.171287161
35000,-5526.3,-20000,-0.136277825,-0.010297161,0.005618047,-0.002198854,0.03673325,0.176514348
-20000,-2631.6,-20000,-0.123890088,0.087409946,0.004997556,0.018273356,0.032725732,0.173325208
-17105.3,-2631.6,-20000,0.00661638,-0.04640793,5.50E-13,-0.008349909,-0.001588144,0.169116195
-14210.5,-2631.6,-20000,0.013178868,-0.04651312,1.25E-06,-0.008370536,-0.003163716,0.169047618
-11315.8,-2631.6,-20000,0.008358511,-0.049929482,0,-0.008982157,-0.002005416,0.168967281
-8421.1,-2631.6,-20000,0.000450681,-0.049116423,0.000155958,-0.008883643,-0.000108596,0.169500221
-5526.3,-2631.6,-20000,-0.006960816,-0.048811163,0.000331645,-0.008879997,0.001684625,0.170011032
-2631.6,-2631.6,-20000,-0.014556967,-0.047915323,0.000567782,-0.008785235,0.003543514,0.170664428
263.2,-2631.6,-20000,0,0,0,2.74E-11,3.67E-11,0.169993802
3157.9,-2631.6,-20000,-0.028963478,-0.04715942,0.001012413,-0.008772626,0.007124091,0.171688398
6052.6,-2631.6,-20000,-0.036431635,-0.046762663,0.001256433,-0.008767311,0.009010502,0.172171726
8947.4,-2631.6,-20000,-0.044213188,-0.04615422,0.00151776,-0.008725639,0.010998399,0.172639144
11842.1,-2631.6,-20000,-0.052581686,-0.045415956,0.001809603,-0.008665567,0.013162737,0.173102753
14736.8,-2631.6,-20000,-0.06112388,-0.044208601,0.002122238,-0.008518144,0.015402876,0.173556049
17631.6,-2631.6,-20000,-0.070490068,-0.042615785,0.002463576,-0.008298472,0.017888347,0.173963638
20526.3,-2631.6,-20000,-0.080324545,-0.040649514,0.002859512,-0.008011976,0.020548171,0.174404096
23421.1,-2631.6,-20000,-0.090998512,-0.038005624,0.003296949,-0.007590307,0.023479827,0.17479323
26315.8,-2631.6,-20000,-0.102425782,-0.034597194,0.003788452,-0.007011088,0.026678007,0.175143538
29210.5,-2631.6,-20000,-0.114726508,-0.03023065,0.004348321,-0.006226935,0.030194338,0.175448312
32105.3,-2631.6,-20000,-0.12946699,-0.022363162,0.005180465,-0.004716933,0.034607346,0.176075568
35000,-2631.6,-20000,-0.142327952,-0.017671087,0.005730658,-0.003784221,0.038382777,0.175832251
-20000,263.2,-20000,-0.157781877,-0.008593919,0.006635636,-0.001885874,0.043204538,0.175976883
-17105.3,263.2,-20000,0.010305465,-0.055118707,0.000226359,-0.009989711,-0.002485375,0.169404282
-14210.5,263.2,-20000,0.01793397,-0.058413984,0.000100441,-0.010541049,-0.004308616,0.168767736
-11315.8,263.2,-20000,0.012438973,-0.058057328,0.000233591,-0.010523232,-0.002999069,0.169267406
-8421.1,263.2,-20000,0.004124498,-0.057359407,0.00042689,-0.01046359,-0.000999461,0.169946927
-5526.3,263.2,-20000,-0.003524343,-0.056637311,0.000622792,-0.010398772,0.000858275,0.170565659
-2631.6,263.2,-20000,0,0,0,2.00E-11,2.68E-11,0.169993802
263.2,263.2,-20000,0,0,0,2.53E-11,3.40E-11,0.169993802
3157.9,263.2,-20000,-0.025169692,-0.05531901,0.00125791,-0.010367921,0.006222922,0.172187849
6052.6,263.2,-20000,-0.032616016,-0.054842662,0.001494721,-0.01035662,0.008107388,0.172685178
8947.4,263.2,-20000,-0.040385288,-0.054223315,0.001752138,-0.010323449,0.010096147,0.17317591
11842.1,263.2,-20000,-0.048607436,-0.05338143,0.002031103,-0.010252552,0.012225448,0.173650642
14736.8,263.2,-20000,-0.057330737,-0.052223287,0.002338001,-0.010126317,0.014513771,0.174116092
17631.6,263.2,-20000,-0.066631539,-0.050679096,0.002678793,-0.009930521,0.016988148,0.174571213
20526.3,263.2,-20000,-0.076590026,-0.048636196,0.003058015,-0.009640818,0.019677827,0.175006971
23421.1,263.2,-20000,-0.087280882,-0.04598577,0.003487185,-0.009233654,0.022615859,0.175428579
26315.8,263.2,-20000,-0.09948235,-0.04258889,0.003982139,-0.008677522,0.026021635,0.175771576
29210.5,263.2,-20000,-0.110926554,-0.038166705,0.004522698,-0.007899675,0.029314678,0.176190714
32105.3,263.2,-20000,-0.123548187,-0.032784027,0.005102677,-0.006898602,0.032993958,0.17642293
35000,263.2,-20000,-0.125820003,0.01061831,0.004311452,0.002185253,0.033030462,0.174236721
-20000,3157.9,-20000,-0.153526538,-0.016455029,0.006525577,-0.00360036,0.041985682,0.176304934
-17105.3,3157.9,-20000,0.014210262,-0.063536369,0.000521397,-0.011622381,-0.003447698,0.169831277
-14210.5,3157.9,-20000,0.021845693,-0.066588985,0.000402097,-0.012130945,-0.005280466,0.169174068
-11315.8,3157.9,-20000,0.015873014,-0.066571037,0.000546834,-0.012185418,-0.003851449,0.169722076
-8421.1,3157.9,-20000,0.008579499,-0.065107716,0.000692587,-0.01197549,-0.002090128,0.170325645
-5526.3,3157.9,-20000,0,0,0,1.33E-11,1.78E-11,0.169993802
-2631.6,3157.9,-20000,0,0,0,2.04E-11,2.74E-11,0.169993802
263.2,3157.9,-20000,0,0,0,2.47E-11,3.31E-11,0.169993802
3157.9,3157.9,-20000,0,0,0,2.74E-11,3.67E-11,0.169993802
6052.6,3157.9,-20000,-0.028486169,-0.062783828,0.001749108,-0.011946732,0.00711785,0.173192409
8947.4,3157.9,-20000,-0.036269243,-0.062136254,0.001999466,-0.011916909,0.009113398,0.173699548
11842.1,3157.9,-20000,-0.044486936,-0.061257867,0.002271414,-0.011848486,0.01124484,0.17419529
14736.8,3157.9,-20000,-0.053215453,-0.060081424,0.002570801,-0.011728967,0.013537424,0.174683131
17631.6,3157.9,-20000,-0.06254101,-0.058519329,0.002901851,-0.011540359,0.016020071,0.17515767
20526.3,3157.9,-20000,-0.072522459,-0.056480744,0.003271599,-0.011263702,0.018717433,0.175618382
23421.1,3157.9,-20000,-0.083245666,-0.053815619,0.003687317,-0.010866414,0.021663457,0.176060058
26315.8,3157.9,-20000,-0.094793931,-0.050407264,0.004155372,-0.01031953,0.024893203,0.176465096
29210.5,3157.9,-20000,-0.10724428,-0.046067771,0.004691676,-0.009578798,0.028448461,0.176837161
32105.3,3157.9,-20000,-0.158511551,-0.002619664,0.009492365,-0.000619358,0.046068534,0.18394179
35000,3157.9,-20000,-0.146229536,-0.030951738,0.005995044,-0.006673729,0.039585086,0.175700697
-20000,6052.6,-20000,-0.150929388,-0.025027912,0.00684575,-0.005523189,0.041574968,0.177493209
-17105.3,6052.6,-20000,0,0,0,1.25E-13,1.67E-13,0.169993802
-14210.5,6052.6,-20000,0.026099547,-0.074728049,0.000727177,-0.013751723,-0.006349164,0.169568845
-11315.8,6052.6,-20000,0.020311073,-0.074419174,0.000858104,-0.013753524,-0.004958581,0.170115206
-8421.1,6052.6,-20000,0,0,0,6.47E-12,8.68E-12,0.169993802
-5526.3,6052.6,-20000,0,0,0,1.49E-11,1.99E-11,0.169993802
-2631.6,6052.6,-20000,0,0,0,2.02E-11,2.71E-11,0.169993802
